212 / 215 done,Term,Context/Tag/Category,Definition,Original definition,Source,2,Term,Context/Tag/Category,Definition,Source,,Overlap,#VALUE!,,,,,,,,,,,,,,
RMB,Data Mining,Data in general,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_47.xml]
[See also: https://terms.codata.org/rdmt/data-mining]","Data mining is like searching for patterns in data, especially when there's a lot of it. Instead of starting with a question (or ‘hypothesis testing’, you explore the data to find interesting things you didn't expect. Sometimes, this involves using machine learning techniques.

However, one risk of data mining is of finding patterns that seem important but are actually just random or because your data is flawed. So, it's important to be careful and make sure the patterns you discover are truly meaningful.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Pooling,Data Management,[See also: https://www.nice.org.uk/Glossary?letter=D],"In the context of Federation, but in contrast to Federated Data, Data Pooling refers to a data sharing case where different organisations or data custodians have their own data, with their own policies and autonomy of management, but subscribe to agreements which permit one or more of these individual datasets to be moved into a data handling environment different to that of their custodians, for the purpose of common linkage and onward analysis.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Data Processor,UK law and rules,"An entity that processes personal data on behalf of a data controller, following the controller's instructions. They do not have control over how the data is used and are only allowed to perform tasks as directed by the controller. For example, a company hired to manage an email service for another organization acts as a data processor. The processor cannot use the data for any other purposes, such as marketing, without the controller's consent.","Whereas a data controller decides what is done with data, data processors do what they’re told (and only what they’re told) by the controller, with the controller’s data. For example, it would be typical that an NHS Trust pays a computing company to run its e-mail service or to run an EHR system. In this situation, the NHS Trust is likely to be the data controller, and the computing company the data processor. The data processor isn’t allowed to use the controller’s data for other purposes, e.g. sending out advertising to individuals.",DM,,,,,,,,,,,,,,,,,,,,,,
BS,Data Protection Act (DPA),UK law and rules,"UK law that regulates how personal data—information that can identify living individuals—is collected, used, and stored. It provides rules for organizations on data handling, ensuring privacy and security, while giving individuals rights to access, correct, and control their own data. It implemented UK-specific aspects of the GDPR and superseded previous UK legislation.","The Data Protection Act 2018 is the UK’s principal law governing the handling of data relating to identifiable living people (“personal data”). It implemented UK-specific aspects of the GDPR and superseded previous UK legislation. The Act primarily guides organisations in handling data, but it also grants individuals rights to protect their own data.",DM,,,,,,,,,,,,,,,,,,,,,,
BS,Data Protection Impact Assessment,UK law and rules,"A process used to identify and minimize risks to personal data before it is collected or processed. It evaluates how data use might impact individuals' privacy and outlines steps to protect their information. A DPIA helps ensure that data handling practices are safe and secure, functioning like a risk assessment for personal data.","Before your personal information is used or processed, the possible risks to you as the ‘data subject’ need to be assessed. This assessment is your Data Protection Impact Assessment. It includes the measures planned to manage those risks and protect your personal information. It's like a safety check to make sure your information stays safe and secure.

It’s also called a privacy impact assessment.",DM,,,,,,,,,,,,,,,,,,,,,,
BS,Data Protection Officer,UK law and rules,"A professional responsible for ensuring that organizations comply with data protection laws when handling personal data. They advise on data privacy practices, monitor compliance, and act as a point of contact for data protection authorities. Organizations processing large amounts of personal data or those in the public sector are required to appoint a DPO, and they are listed on the public register held by the Information Commissioner's Office (ICO)","Where data controllers/processors are public bodies or organisations handling personal data on a large scale, they must (under the GDPR) appoint a data protection officer to advise them on data protection and monitor compliance. Data protection officers are listed on the public register held by the Information Commissioner's Office (ICO).",DM,,,,,,,,,,,,,,,,,,,,,,
BS,Data Science,Data in general,"Data Science is a field focused on extracting knowledge and insights from data. It combines techniques from data management, computer science, and statistics to store, organize, and analyze data. Data science also involves applying this knowledge to specific problems, making it highly interdisciplinary, with experts from various backgrounds (such as clinicians and computer scientists) collaborating. Its goal is to uncover useful patterns and make data-driven decisions or predictions.","Data science is a field of research that focuses on learning from data. It involves different areas of study, like storing, organising and processing data (data management, computer science), and analysing data to find useful patterns (computer science, statistics).It also requires thinking about the specific problem (e.g. a particular disease or condition of interest); after all, there is no science without data.

All these different parts mean data science is often an interdisciplinary field with lots of people from different scientific backgrounds working together (like clinicians and computer scientists).

Data science helps us gain knowledge and insights from the data we have.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Subject,UK law and rules,[See also https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_79.xml],A person whose personal data is being held by a data controller.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Sunsetting Service *,Data Management,Too speciifc - remove?,A service or process for retiring or decommissioning outdated or unnecessary data in line with the organisation and researcher project's retention policies.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Transfer Agreement,UK law and rules,"A Data Transfer Agreement is an agreement or contract between a data controller and another organisation (such as a data processor), governing the transfer of data.
See also: [Data Controller], [Data Processor].
[Related: Data Transfer, see https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_82.xml]","When a person or organisation that has control over data wants to share that data with another organisation, they make an agreement or contract. This agreement outlines the terms and conditions for how the data can be transferred and used by the other organisation. The agreement ensures that both parties understand and agree on how the data should be handled.

So a Data Transfer Agreement is an agreement or contract between a data controller and another organisation (such as a data processor), governing the transfer of data.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Transfer Service,Data Management,"A service or system that facilitates the secure and efficient transfer of data between different systems, networks, or locations.
[Related: Data Transfer, see https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_82.xml and https://w3id.org/shp#DataTransfer]","A service or system that facilitates the secure and efficient transfer of data between different systems, networks, or locations.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Data Users,Data in general,[See also https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_85.xml],People or organisations who access and use collected data for research or other purposes,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Database,Data in general,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_8.xml]
[See also: https://terms.codata.org/rdmt/database]","Databases mainly consist of tables that hold organised information. These tables often connect with each other, forming ""relationships"" between records. These connections are typical in ""relational"" databases, where one record refers to another, even in different tables.

Each table is like a grid with rows and columns, focusing on something of interest, such as clinic referrals. Columns represent simple details about the table, like ""referral number"" or ""referral date."" Each row, known as a ""record,"" corresponds to a single instance, like a unique referral. In the grid, where rows and columns meet, you find a ""value"" (also called a ""field"" or ""cell""), which holds a single piece of information, like ""2023-01-01."" Sometimes, values can be missing, appearing as blank or ""null.""",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,De-identification,Identifiability,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_101.xml]
[See also: https://terms.codata.org/rdmt/de-identification]",De-identified data is where personal details (those which can directly identify a person such as their name and address) have been removed. This is done by replacing or removing these direct identifiers. Where they are replaced by a research identifier (ID) or “pseudonym” this is called pseudonymisation. Both structured data and text can be de-identified. The aim is to ensure data used for analysis or research does not reveal who people are.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Desktop,Computing,"The [Graphical User Interface] and environment presented to users on their computer screens, typically including icons, menus, and windows for interacting with applications and files.","The graphical user interface (GUI) and environment presented to users on their computer screens, typically including icons, menus, and windows for interacting with applications and files.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Desktop Applications,Computing,"Software applications designed to be installed and run on individual computers or [Desktop] systems, often providing specific functionalities or tools.","Software applications designed to be installed and run on individual computers or desktop systems, often providing specific functionalities or tools.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Disclosure Control,,"The process of review by approved staff at a Trusted Research Environment (TRE) of any research or analysis results prior to their release from the TRE. The aim of disclosure control is to ensure there are no risks of identifying individuals in any released research results.
[Related to: Disclosure Control Methods https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-D_142.xml] 
[Related to: Disclosure Check https://w3id.org/shp#DisclosureCheck] ",,,,,,Related to Data Egress - combine the two? Need a clear definition to Disclosure Control (this is the principle) - data egress is the specific process.,,,,,,,,,,,,,,,,,,
RMB,Document & SOP Management Process,Management,Too specific - remove?,"A structured approach to creating, organising, updating, and controlling documents and Standard Operating Procedures (SOPs) within the TRE organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,E-cohorts,Health Research,Discipline-specific - remove?,E-cohorts are well defined groups created based on electronic data which enable analysis and comparison.,DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Early Career Researchers (ECRs),Health Research,"We have PI, so probably need to keep in ECRs? but not just health research - applies to any discipline so can keep orig definition but need to change tag/category","People who are in the early stages of their research careers, typically within a few years of completing their doctoral degree or equivalent.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Egress/Ingress Control,Security Management,"The implementation of measures or controls to control and monitor the movement of data into and out of the TRE, to prevent sensitive data from leaving the TRE. Often known as output/input checking, or in the case of egress, disclosure control.
See also: [Disclosure Control]","The implementation of measures or controls to regulate and monitor the movement of data into and out of the TRE, to prevent sensitive data from leaving the TRE. Often known as output/input checking, or in the case of egress, disclosure control.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Electronic Health Record (EHR),Health Services & Health Data,A person’s health records that are held digitally on a computer (as opposed to on paper). Also known as an electronic patient record (EPR).,A person’s health records that are held digitally on a computer (as opposed to on paper). Also known as an electronic patient record (EPR).,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Electronic Quality Management System Application,Management,Too specific - remove?,"A software application or platform used to manage and automate quality management processes, including document control, corrective actions, audits, and performance tracking.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Epidemiological or Observational Research,Health Research,Discipline-specific - remove?,"Research in which data about people is analysed. Although this might be participatory research (the researchers meet people and collect data from them specifically for the study), this kind of research often uses routinely collected data from large numbers of people (i.e. from contacts with GPs). Using information from a very large number of people often makes the research better able to find answers. However, conclusions from routinely collected data are tentative, because “correlation does not imply causation”. If event A is associated (correlated) with event B, is that because A causes B, because B causes A, because X causes both A and B, or was it a chance finding? Strong conclusions may require randomised controlled trials.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,Ethical approvals,Running and Overseeing Research,Ethical approvals are like getting the green light from a group of experts who make sure that research is done in a proper and respectful way. They ensure that participants' rights are protected and everything is conducted responsibly. It's like having a permission slip before starting the research to ensure everything is fair and safe.,Ethical approvals are like getting the green light from a group of experts who make sure that research is done in a proper and respectful way. They ensure that participants' rights are protected and everything is conducted responsibly. It's like having a permission slip before starting the research to ensure everything is fair and safe.,DM,,,,,,,,,,,,,,,,,,,,,,
LM,European Union (EU) General Data Protection Regulation (GDPR),UK law and rules,"The 2016 GDPR set out the EU framework for the handling of data relating to identifiable living people. Among many other things, it sets out a variety of legal bases for using personal data, such as “the data subject has given consent”, “a task... in the public interest”, or for “scientific... research”. The UK DPA was framed in its terms and set out UK-specific aspects. When the UK left the EU in 2020, the GDPR remained in UK law as the “frozen GDPR” or “UK GDPR”.","The 2016 GDPR set out the EU framework for the handling of data relating to identifiable living people. Among many other things, it sets out a variety of legal bases for using personal data, such as “the data subject has given consent”, “a task... in the public interest”, or for “scientific... research”. The UK DPA was framed in its terms and set out UK-specific aspects. When the UK left the EU in 2020, the GDPR remained in UK law as the “frozen GDPR” or “UK GDPR”.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,External Audit,Management,"An independent assessment or review of the TRE organisation's controls, processes, or compliance conducted by external auditors or audit firms.","An independent assessment or review of the TRE organisation's controls, processes, or compliance conducted by external auditors or audit firms.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,FAIR Data,Data in general,"FAIR data is a set of principles ensuring data is:
Findable: Easy to locate through clear identification and metadata
Accessible: Retrievable through standard methods, even if authentication is needed
Interoperable: Can work across different systems and with other datasets
Reusable: Well-documented and properly licensed so others can use it

[see also CODATA definition https://terms.codata.org/rdmt/fair-data], see also separate definitions for each FAIR, Findable: https://terms.codata.org/rdmt/findable, Accessible: https://terms.codata.org/rdmt/accessibility, Interoperable: https://terms.codata.org/rdmt/interoperable, Reusable: https://terms.codata.org/rdmt/reusable]

[see also DPDPIS definition https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-F_3.xml, see also separate definition of Accessibilty: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-A_4.xml, Interoperability: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-I_65.xml, no definitions for Findable or Reusable]","1. Findable: Making mental health datasets easy to find and locate.
2. Accessible: Ensuring that researchers and others can easily access and obtain mental health data.
3. Interoperable: Allowing different mental health datasets to work together and be combined for analysis.
4. Reusable: Allowing mental health data to be used multiple times for different research purposes.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Federation,Processes,"A grouping of organisations with their own policies and assets (e.g. datasets or computing resources) who agree to allow use of those assets by the broader group but without the assets leaving control or ownership of the organisation.
Ordinary real-world examples of this are the United States of America, Germany or Australia, where member states have individual laws and governance but also subscribe to central policies to enable and encourage working together. ","Federation typically refers to a fairly loose alignment of a number of entities who retain autonomy, but agree to align on certain things as a group. Ordinary real-world examples of this are the United States of America, Germany or Australia, where member states are still individuals with individual laws and management, but they also subscribe to a central body’s policies to enable and encourage working together.  In software terms federation typically then refers to separate organisations with their own policies and assets who agree to allow use of those assets but without the assets leaving control or ownership of the organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federated​ Analytics,Computing,"Federated analytics is when data analysis happens across multiple independent organisations, with each organisation keeping complete control of their own data. Instead of combining all data in one place, the analysis methods are sent to each organisation's data. For example, multiple hospitals could participate in medical research by running the same analysis on their local patient records, then sharing only the summarized statistical results - like average patient outcomes or treatment effectiveness. The raw patient data never leaves each hospital's secure system, but researchers can still draw insights from the combined statistical findings across all participating hospitals","The running of “analytics” pipelines or workflows across federated datasets. This could be as simple as having access to one or more federated datasets to allow doing some simple maths or other statistical work, but it could also be simultaneously running interconnected analytics against multiple federated datasets and then aggregating the results.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federated Data,Computing,"Federated data is when different organizations keep full control of their own data but agree on ways to safely share access to it for specific purposes. Each organization maintains its own data security and rules, but allows approved users to work with the data through agreed-upon tools and systems. For example, research institutions might share access to their datasets while keeping the data within their own secure environments, allowing collaborative research without moving sensitive data to a central location","As per Federation above, Federated Data refers to a data sharing case where different organisations or data custodians have their own data, with their own policies and autonomy of management, but subscribe to agreements or organisations, or the use of tools which allow access to that data (e.g. for research purposes), without the raw data ever leaving the custodian’s environment.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federated Identity Mapping,Computing,"[see also DPDPIS definition: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-F_15.xml]
",The process of linking or mapping user identities across multiple systems or domains to enable seamless access and authentication.,DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federated Learning,Computing,[see also DPDPIS definition: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-F_16.xml],The running of machine learning model training or predictions against federated datasets.,DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federation Operator,Management,"An organization or entity responsible for managing a federated identity system or network. In such systems, multiple independent organizations (known as ""federated members"") collaborate to enable secure, streamlined access to resources or services without requiring users to maintain separate credentials for each participating member.",An entity or role responsible for managing and coordinating federated identities and access across multiple systems or organisations.,DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Federated Query,Computing,See [Federated Analytics],Synonymous with Federated Analytics.,DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Firewall,Security Management,"A security device—either hardware, software, or a combination of both—that monitors and controls incoming and outgoing network traffic based on predetermined security rules. Its primary purpose is to establish a barrier between a trusted, secure internal network and untrusted external networks, like the internet, to protect against unauthorized access, cyberattacks, and other potential threats.
[see also DPDPIS definition: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-F_23.xml]","A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on a set of predefined rules. It acts as a barrier between a private network (such as a company's internal network) and the public internet, filtering and blocking unwanted traffic while allowing legitimate traffic to pass through. Firewalls can be hardware devices, software applications, or a combination of both. They typically use a variety of techniques to filter network traffic, such as packet filtering, stateful inspection, and application-level filtering. Firewall rules can be configured to allow or block specific types of traffic based on factors such as the source or destination IP address, port number, protocol type, and content. Firewalls are commonly used in enterprise networks to protect against external threats such as malware, hacking attempts, and unauthorized access. They can also be used to control access to specific network resources and applications, and to enforce security policies and compliance requirements. While firewalls are an important component of network security, they are not foolproof and cannot provide complete protection against all types of threats. It is important for organizations to use a multi-layered approach to security, including regular software updates, employee training, and other security measures in addition to firewalls.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Five Safes,Processes,"The Five Safes framework is a set of principles developed to guide researchers and organizations in handling sensitive data.
[See also DPDPIS definition: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-F_26.xml] ","The Five Safes framework is a set of principles developed to guide researchers and organizations in the creation of [Trusted Research Environments] (TREs) for handling sensitive data. It is widely used in the research community. The Five Safes framework consists of five key principles that should be considered when handling sensitive data: safe projects, safe people, safe settings, safe data, safe output. 

See also: [fivesafes.org]",WG,,,,,,,,,,,,,,,,,,,,,,
RMB,Graphical User Interface (GUI),,"A way of interacting with a computer system based on visual presentations of documents, applications and so on as windows on a screen. Users interact with a GUI using pointing devices (e.g. a mouse or a finger) rather than having to type everything. Contrast with [Command Line Interface].",,,,,,Keep in as we reference it elsewhere (e.g. APIs),,,,,,,,,,,,,,,,,,
BS,Identifiable Data,Identifiability,"Data that can be used to identify, contact, or locate a specific individual, either by itself or when combined with other available information. This includes direct identifiers like full names, NHS numbers, and email addresses; indirect identifiers such as date of birth or workplace that could identify someone when combined; and context-dependent identifiers like IP addresses or device IDs. For example, while a person's age alone might not identify them, combining it with their job title and city of residence could make them identifiable – such as ""a 45-year-old pediatric surgeon in Bolton, Greater Manchester"" might be specific enough to identify a particular individual, even without naming them directly. This type of data requires special handling under various privacy regulations like GDPR to protect individuals' privacy and prevent unauthorized access or misuse.
[See also CODATA: https://terms.codata.org/rdmt/direct-identifier and https://terms.codata.org/rdmt/indirect-identifier ; DPDPIS: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-I_5.xml]","Identifiable data is information that directly tells you who someone is. It includes things like their name, date of birth, address, NHS number, and phone number. These are direct identifiers. For example, if you have a person's name, birthdate, and NHS number, you can easily identify them. This kind of data is private and needs to be handled carefully to protect people's personal information.

A fictional example: “John Smith, male, DOB 3 Jan 1948, NHS# 1234567890, diagnoses of depression and heart failure” where “John Smith, male, DOB 3 Jan 1948, NHS# 1234567890” is the identifiable data.",DM,,,,,,,,,,,,,,,,,,,,,,
BS,Identity and Access Management Services,Security Management,[see also DPDPIS: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-I_18.xml],"Services, systems, or processes that govern and control user identities, access privileges, authentication, and authorization within an organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Identity Verification,Security Management,"The process of confirming or authenticating the identity of individuals or entities, often through the verification of personal information, credentials, or biometric data.","The process of confirming or authenticating the identity of individuals or entities, often through the verification of personal information, credentials, or biometric data.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Information Asset Owner *,Data Management,"An individual or role accountable for managing and overseeing an information asset, including their acquisition, use, maintenance, and protection.","An individual or role accountable for managing and overseeing an information asset, including their acquisition, use, maintenance, and protection.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Information Commissioner's Office (ICO),UK law and rules,"The UK’s independent authority for upholding information rights in the interest of the public.
The ICO oversees the application of the Data Protection Act and the UK GDPR, and has the power to issue monetary pentalties for infringement of dat protection legislation.","The UK’s independent authority for data protection. The ICO oversees the application of the Data Protection Act. If you have questions about data protection or want to report a data breach, you can reach out to the ICO through:",DM,,,,Keep in as it's a national regulatory institution.,,,,,,,,,,,,,,,,,,
LM,Information Governance (IG),UK law and rules,"Information Governance (IG) is how an organisation takes care of its information or data. It involves strategies and processes for defining, collecting, storing, securing, using, protecting and disposing of data safely, while also respecting privacy. IG ensures that data is managed well throughout its life cycle, following guidelines and laws. It helps organisations handle data responsibly, protect it from risks, and use it in a way that follows rules and keeps people's information safe.
Information governance also identifies the processes to be followed in the event of a failure to protect personal data, and any reporting, or escalation to regulatory bodies if necessary,.","Information Governance (IG) is how an organisation takes care of its information or data. It involves strategies and processes for collecting, storing, securing, using, protecting and disposing of data safely, while also respecting privacy. IG ensures that data is managed well throughout its life cycle, following guidelines and laws. It helps organisations handle data responsibly, protect it from risks, and use it in a way that follows rules and keeps people's information safe.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,Informed Consent,Health Research,SUGGEST REMOVING due to new definition of consent above,"“Informed Consent” is when people are asked to be part of something, whether it's an official research study or not. When someone wants you to be involved in something, they should tell you everything you need to know about it—what's going on, what could go right or wrong, and what will happen to the information you share. This helps you decide if you want to join in or not, based on having all the facts.
This can extend to situations where people collaborate to understand and tackle problems, even if they aren't following a strict research study format. And ""Informed Consent"" is still important in these situations to make sure everyone knows what they're getting into and can make their own choices.
Normally, medical research studies where people take part (‘participatory research’) may only involve those who consent. Informed consent here is an internationally agreed ethical principle of participatory research. “Informed” means that before deciding, the person should understand all relevant aspects of the study, including its aims and potential risks and benefits
Consent might not always be necessary in non-participatory epidemiological research that uses anonymised, routinely collected data. This kind of research doesn't require direct participation from people, as researchers work with data that has already been gathered. If it's ensured that nobody can be identified from the research, consent might not be needed. It's important to know that consent can change over time. People can decide to stop participating in research whenever they want, and they won't be treated badly for it. This highlights how vital it is for researchers to keep talking with participants openly. This way, participants can freely decide what's best for them and feel like their choices matter.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Integrated Care,Health Services & Health Data,Discipline-specific - remove,Coordination and collaboration among different healthcare providers and other settings to ensure comprehensive and seamless care for individuals e.g. child and adolescent health services and schools.,DM,,,,,,,,,,,,,,,,,,,,,,
SL,Integrated Development Environment (IDE),Computing,"Remove, Too generic","A software application or platform that provides comprehensive tools and features for developing, testing, and debugging software applications.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Internal Audit,Management,"An independent evaluation process performed within the TRE organisation that assesses and improves its internal controls, risk management, and governance.","An independent evaluation process within the TRE organisation that assesses and improves its internal controls, risk management, and governance.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Internal Auditor,Management,"Remove? ""Internal Audit"" is enough","A professional responsible for evaluating and assessing an organisation's internal controls, policies, and procedures to ensure compliance, effectiveness, and efficiency.",DARE,,,,,,,,,,,,,,,,,,,,,,
BS,Interoperability,Computing,"The ability of two or more systems, devices, or applications to exchange and use information seamlessly. Interoperability enables these systems to work together, often through the adoption of open standards, that facilitate consistent communication and data sharing without requiring custom intergration. Good interoperability promotes collaboration, scalability, and the extension of services by allowing different systems to work together in a standarised, vendor-neutral way, thereby reducing techinal and operational barriers.
See also [https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-I_65.xml]","Allowing mutual operation between (inter) two or more systems. Mainly letting systems work together, or communicate with each other. If you control the development of two systems it is easy to get them to interoperate using a proprietary defined interface between those two specific systems, but good interoperability is usually achieved through the use of open standards, whereby any system can understand the standard being used and be developed to work with it, encouraging collaboration, extension etc.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Issue Management Process,Computing,"A systematic approach to identifying, tracking, resolving, and managing issues or problems that arise within a TRE organisation, aiming to minimise their impact and ensure timely resolution.
Common mechanisms to manage the effective resolution of such issues can include Corrective and Preventive Actions (CAPAs), which enable such instances to be documented and provide an audit trail of activities undertaken to prevent recurrence.
","A systematic approach to identifying, tracking, resolving, and managing issues or problems that arise within a TRE organisation, aiming to minimise their impact and ensure timely resolution.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,IT Service Provider,Computing,"A company, department, or entity that delivers information technology services or support to internal or external clients, such as network management, software development, or helpdesk support.","A company, department, or entity that delivers information technology services or support to internal or external clients, such as network management, software development, or helpdesk support.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Jigsaw Attack,Identifiability,"Remove, too specific?","A jigsaw attack is when someone tries to find out who a person is from data that was supposed to hide their identity. It's like solving a puzzle by putting together different pieces of information to figure out who the person is. For example, if there's data saying that a ""57-year-old woman with anxiety"" was in a bus accident, and a newspaper reported the accident and mentioned her name, someone could use both pieces of information to discover her identity and the fact that she had anxiety.
Jigsaw attacks can be done by people with bad intentions who want to learn personal information about someone, or by security researchers testing how well data protection systems work. Usually, jigsaw attacks are against the law, but there are special cases where they are allowed, such as when testing privacy systems. It's surprising how even a small amount of information can sometimes be enough to identify someone. However, if the data is about groups of people rather than individuals, jigsaw attacks become much harder or even impossible, especially when dealing with larger groups.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,Lawful Basis,UK law and rules,"On 25 May 2018 the General Data Protection Regulation (“GDPR”) came into force. From this date, you must have a defined lawful basis to hold and use ‘personal data’. The Health Research Authority (HRA) and Information Commissioner’s Office (ICO) advise that for almost all research conducted in the UK organisations should rely on either: (1) ‘Task in public interest’ – for all public bodies (NHS / HSC, Universities, UKRI etc), or (2) ‘Legitimate interest’ – for non-public bodies (charities etc.)
[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-L_3.xml] ",,WG,,,,,,,,,,,,,,,,,,,,,,
RMB,Learning Management System,Other,Too specific - remove?,"A software platform or application that facilitates the administration, delivery, and tracking of educational or training programs, often including course materials, assessments, and learner progress tracking.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Linkage of data (data linkage),Processes,"Joining two or more sets of data together using one (or more) pieces of information common to all (often called ""common keys""). Linkage may be based on straightforward rules (“two records with the same NHS number are from the same person”) or based on probability (“if two records share the same forename, surname, and date of birth, they are more likely to be from the same person”). Links may be made using identifiable data (e.g. NHS number) or de-identified data (e.g. a research pseudonym).
For example: joining a health dataset with an employment dataset using a common key based on individual names and addresses.","Joining (linking) data from more than one source. For example, to study the relationships between mental and physical health conditions, it might be necessary to link data from NHS mental health services to primary care (GPs) or acute hospital data. To study the relationships between health conditions and education, it might be necessary to link data from health services and a government education department.
Linkage may be legally complex because it involves data from more than one data controller. Linkage may be based on straightforward rules (“two records with the same NHS number are from the same person”) or based on probability (“if two records share the same forename, surname, and date of birth, they are more likely to be from the same person”). Links may be made using identifiable data (e.g. NHS number) or de-identified data (e.g. a research pseudonym).",WG,,,,,,,,,,,,,,,,,,,,,,
KO'S,Lived experience,Health Services & Health Data,Discipline-specific - remove,Insights and perspectives gained from individuals who have directly experienced a particular condition e.g. depression or situation e.g. carer.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Longitudinal Dataset,Data in General,A collection of data related to the same group of people over a long time to see how things change. This may involve asking the same questions at different ages.,A collection of data related to the same group of people over a long time to see how things change. This may involve asking the same questions at different ages.,DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Longitudinal Population Studies (LPS),Health Research,,Ongoing studies that follow the same group of individuals over time to gain insights into their health and well-being.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Machine Learning (ML),Analysis,"A computer programming technique particularly suited to identifying patterns or rules in large amounts of data. Rather than beginning with a fixed set of rules, an ML program builds up  (""learns"") a set of likely rules by processing many example datasets (this stage of ML is known as ""training""). When the set of likely rules is complete, the ML program can apply them to new datasets and offer a likely prediction (this stage is known as ""inference"").
For example: an ML program trained to recognise car numberplates would be trained on many pictures of car numberplates, building up a set of likely rules that will enable to program to ""recognise"" car numberplates in the future.
[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-M_2.xml] ","Machine learning is like teaching a computer to learn on its own. It can find patterns in data and make predictions about what might happen in the future based on the data. ML algorithms (which are computer programs) can work by themselves (“unsupervised”) to discover patterns, or can be trained to classify data automatically based on examples classified by a human (“supervised”).
Machine learning can do impressive things like spotting breast cancer in X-ray pictures.
But there are two problems. First, what is learnt in one system doesn't always work in another. Second, is that a system taught by machine learning may be like a “black box”: it might be difficult for a researcher, clinician, patient or member of the public to understand how it reached its decision, and therefore to trust its results.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Malware Scanning Application,Security Management,"A software application or tool that scans and detects malicious software or malware on computer systems or networks, aiming to prevent security breaches or infections.","A software application or tool that scans and detects malicious software or malware on computer systems or networks, aiming to prevent security breaches or infections.",DARE,,,,,,,,,,,,,,,,,,,,,,
